Word,Frequency
想,12011
没,9673
没有,9336
爱,7254
里,6461
走,6369
不会,5998
现在,5346
兄弟,5213
想要,4839
知道,4638
听,4591
太,4140
世界,3909
说唱,3824
真的,3789
老子,3654
不想,3603
时间,3560
音乐,3509
需要,3490
一起,3412
生活,3259
不要,3207
不能,3069
一直,2975
感觉,2958
带,2957
可能,2884
已经,2881
喜欢,2881
钱,2778
像是,2717
吃,2525
看到,2433
不用,2404
永远,2378
找,2376
能够,2278
变成,2269
继续,2248
站,2240
新,2225
耍,2203
懂,2202
ى,2179
最后,2160
快,2130
每天,2099
觉得,2090
有人,2026
不再,2021
每个,2020
梦,1974
到底,1946
不到,1946
总是,1928
我会,1920
希望,1920
唱,1903
朋友,1902
问,1898
写,1896
身边,1885
笑,1875
心,1863
离开,1860
陪,1834
心里,1808
曾经,1783
路,1761
变得,1750
无法,1718
成为,1697
选择,1691
告诉,1679
相信,1669
里面,1666
未来,1639
全都,1637
保持,1635
只能,1631
一次,1619
看着,1610
穿,1607
ا,1581
喝,1565
起来,1552
不停,1540
玩,1501
哥们,1489
必须,1462
我要,1442
几个,1426
特别,1414
人生,1414
根本,1395
记得,1384
帮,1380
有点,1376
今天,1373
回到,1368
一点,1366
变,1365
过去,1356
是否,1352
一天,1344
很多,1330
眼睛,1317
跑,1300
开,1300
出现,1293
总,1290
准备,1276
留下,1270
买,1261
东西,1259
地方,1248
城市,1241
搞,1240
赚,1237
头,1236
其实,1227
也许,1223
喊,1222
故事,1221
一定,1217
努力,1215
ە,1208
慢慢,1207
歌词,1203
手,1186
住,1182
经历,1170
梦想,1170
真,1158
得到,1146
现实,1140
应该,1136
讲,1134
歌,1133
以前,1133
出,1132
晓得,1131
先,1115
发现,1113
习惯,1110
北京,1109
中国,1101
忘记,1100
早就,1099
怕,1098
声音,1097
代表,1094
身上,1092
明白,1086
面对,1084
孩子,1083
随便,1078
就让,1077
从来,1075
问题,1073
飞,1072
从来不,1066
话,1062
回忆,1055
不断,1045
灵魂,1040
快乐,1038
完,1033
生命,1031
游戏,1028
忘,1028
成功,1027
感受,1026
害怕,1019
老,1017
家,1011
肯定,1005
从不,1004
妈妈,1001
回家,1001
错,995
学会,994
掉,991
好像,991
跟着,966
不同,963
自由,958
事,955
花,949
放,949
ن,946
出品,944
睡,943
事情,940
早,938
这是,938
干,936
死,921
以后,920
送,916
م,912
名字,905
改变,900
眼泪,900
见,896
一路,896
看看,896
脸,887
身体,883
天空,881
看见,880
成都,876
孤独,874
跳,872
前,872
ل,870
换,867
找到,864
失去,863
等待,862
不在乎,850
回头,850
明天,849
机会,846
高,843
天,843
这种,841
内心,840
啥子,840
坐,839
讨厌,838
期待,838
唯一,835
再次,835
踩,831
恨,831
存在,830
越,830
装,828
绝对,824
街上,823
街头,823
进,821
打开,819
不敢,818
成,815
两个,811
逼,808
假,803
哭,802
不够,801
直接,799
听到,798
早已,797
太多,788
吹,782
最好,782
属于,781
一场,780
没得,775
只会,775
越来越,773
不止,773
反正,771
黑,767
丢,764
办法,764
怪,763
开心,761
不了,761
没人,759
躲,758
之前,757
过来,754
挂,750
遇到,749
方式,745
依然,743
痛苦,739
风,739
好多,736
太阳,733
节奏,733
总监,732
背后,729
放弃,727
说话,723
面前,719
所有人,718
感谢,718
倒,714
没法,711
手机,711
之后,708
路上,705
拥有,704
回,702
ت,702
女孩,701
电话,700
长大,696
猜,694
对手,693
享受,686
文化,685
情绪,679
ر,678
心中,677
担心,673
更加,667
整个,666
美丽,666
晚上,665
手里,657
今晚,653
再见,649
真实,648
监制,646
麦克风,646
眼神,641
伴奏,641
记住,638
爱情,638
感情,632
房间,632
演出,632
嘴,631
周围,631
د,626
酒,625
感到,624
每次,620
坏,617
双手,616
靠近,616
非常,616
眼里,616
理解,614
寻找,611
呼吸,606
愿意,606
清楚,605
爬,603
舞台,602
一步,602
勒,600
首歌,599
年轻,599
躺,599
藏,599
依旧,598
男人,598
黑暗,597
家里,596
原来,595
ۇ,595
简单,595
想起,595
烦恼,594
命运,594
雨,592
时代,591
火,591
垃圾,590
关系,589
接受,589
阳光,589
哥,587
咯,586
少,585
背,577
突然,576
脑壳,575
追,574
幸福,574
幻想,572
地下,572
ق,572
ས,572
我来,571
一句,570
终于,569
脸上,567
在乎,566
咋个,564
疯狂,563
宝贝,560
抱,559
算,559
狗,556
老板,556
危险,554
电影,554
放下,552
水,552
活,552
痛,551
赢,551
拍,551
真正,551
注定,550
是不是,550
社会,549
ئ,549
黑夜,548
上面,548
敢,547
嘴巴,546
英雄,544
小心,542
混,542
叫做,541
统筹,541
工作,541
我能,538
正在,537
实力,536
欲望,535
来到,534
哥们儿,534
决定,532
了解,531
后悔,531
力量,530
圈子,530
如今,529
无所谓,527
快点,527
风格,526
态度,526
宇宙,524
回来,524
在意,523
麻烦,523
一边,523
之间,522
再也,520
样子,519
顶,519
记忆,519
ག,518
方向,517
夜晚,515
梦里,512
夏天,512
够,510
怀疑,510
是因为,510
有时候,509
坚持,509
精神,508
命,508
道,506
此刻,506
理由,506
日子,505
拥抱,505
比赛,504
充满,504
ད,502
骄傲,500
骗,500
衣服,499
消失,499
外面,497
状态,496
娃儿,495
穿过,493
س,493
拼命,492
抱歉,492
封面,492
证明,491
敌人,490
开口,489
假装,489
画面,488
做到,488
青春,486
那种,486
确实,485
燃烧,481
注意,480
所谓,478
天上,477
歌手,477
欢迎,476
想法,476
结束,475
烂,475
夜,475
旁边,474
帅,474
味道,469
弄,469
剩,468
女人,468
ك,468
留在,467
赚钱,467
拉,467
剩下,466
ي,466
中文,465
红,464
或许,462
压力,461
熟悉,460
姑娘,459
只想,459
想象,458
带走,458
规则,457
钞票,457
爸爸,457
嫉妒,455
计划,455
经常,454
骂,453
满,452
轻松,452
网易,451
专辑,450
戴,450
沉默,449
江湖,448
学,447
太过,447
诶,447
微笑,447
容易,446
个人,446
放在,446
打破,445
马上,444
难,444
目标,443
浪费,442
上帝,442
尊重,441
空气,440
完美,440
失败,440
坐在,437
时光,436
远,436
看不到,436
难过,436
创造,436
生意,434
一片,434
到处,434
卖,434
付出,432
秘密,431
活着,430
转,430
硬,429
差,427
ང,427
悲伤,426
总会,425
点儿,424
一首,424
一半,424
一颗,423
全是,421
疯,421
美好,421
距离,421
一遍,421
公司,420
遗憾,420
重庆,420
星星,419
快要,419
冠军,419
从没,419
同样,417
灵感,417
夜里,416
车,416
冷,415
བ,415
清醒,414
一年,414
自我,413
答案,413
忙,413
傻,412
明星,412
胜利,411
偶尔,411
遇见,411
教,411
门,410
妈,408
冬天,408
没什么,407
难道,407
这场,407
过程,406
认识,406
杀,406
碰,406
从小,405
伤害,405
发生,405
风景,404
心情,403
比较,402
一段,402
间,402
一生,402
保护,402
家人,401
留,401
绝不,401
嘴里,400
押韵,400
出发,400
长沙,400
从前,399
发,398
消息,398
包括,398
目的,398
独自,397
凌晨,397
一条,397
瞬间,397
脖子,397
时刻,397
心脏,396
全世界,395
窗外,393
第一次,393
温柔,392
飞机,392
眼前,392
头发,392
承认,391
烟,391
做个,390
见到,389
张,388
听见,388
广东,388
企划,388
思念,388
穿着,387
勇敢,387
黑色,387
实现,386
累,385
耳朵,385
喝酒,384
牛,383
键盘,383
拒绝,383
伤口,382
岁,381
ᠠ,381
不愿,381
遭,381
学校,381
陷阱,381
重要,381
地球,381
使用,381
昨天,381
看不见,380
出门,380
天赋,379
一张,376
哥哥,376
潇洒,375
ب,375
任何人,373
醒来,373
不知,372
抢,372
地上,371
浪漫,371
美,371
满足,371
呆,370
加,369
钻石,369
对不起,369
想到,369
轻易,367
那天,367
低头,366
历史,365
脑海,365
摆,365
斗地主,365
天生,363
走过,363
当成,363
伤,362
双眼,360
远方,360
懒得,360
粉丝,359
当作,358
མ,358
表达,358
少年,358
脚,358
脚步,358
月亮,358
不好,358
吐,356
血,356
男孩,356
重新,355
小老虎,354
抬头,354
子弹,354
仿佛,354
一杯,353
出品人,353
最近,353
一把,353
劝,352
停,352
旋律,351
偷偷,351
撒,351
位置,351
战斗,350
正,350
多久,349
老师,349
表情,349
角落,349
意义,348
差不多,348
上海,347
思想,346
输,346
渴望,346
刚,346
画,346
理想,346
我用,346
人群,346
可惜,345
醉,345
成长,343
一辈子,343
羡慕,342
娃,342
有太多,341
抽,340
般,340
看清,340
心跳,340
一下,339
点燃,339
长,339
举起,338
ར,338
出去,338
挺,338
带上,337
道理,337
走进,337
配合,335
原谅,335
拼,335
抱怨,335
翻唱,335
照片,335
结局,335
脾气,334
翻,334
口袋,334
有没有,334
关心,334
抓住,333
沙漠,333
事儿,332
抓,332
破,332
重复,332
圈,331
天天,331
控制,331
逐渐,331
今年,331
不必,331
互相,331
一只,330
值得,330
黄金,330
岁月,329
妹儿,329
滴,328
作品,328
前进,327
终点,327
搭配,326
功夫,326
活在,326
耳机,325
ན,325
陪伴,324
停留,324
泪,324
月光,324
盯,324
پ,324
回答,324
足够,323
度过,320
