word,entity_type,frequency,source
两,CARDINAL,1777,NER+Jieba
今天,DATE,1292,NER+Jieba
一,CARDINAL,1200,NER
第一,ORDINAL,1171,NER+Jieba
三,CARDINAL,992,NER
北京,GPE,991,NER+Jieba
2,CARDINAL,854,NER
明天,DATE,820,NER+Jieba
中国,GPE,806,NER+Jieba
成都,GPE,674,NER+Jieba
今晚,TIME,627,NER+Jieba
一天,DATE,618,NER+Jieba
4,CARDINAL,558,NER
晚上,TIME,495,NER+Jieba
一半,CARDINAL,483,NER+Jieba
中文,LANGUAGE,470,NER+Jieba
wit,PERSON,451,NER
夏天,DATE,426,NER+Jieba
五,CARDINAL,413,NER
冬天,DATE,384,NER+Jieba
昨天,DATE,381,NER+Jieba
四,CARDINAL,355,NER
广东,GPE,354,NER+Jieba
八,CARDINAL,343,NER
上海,GPE,342,NER+Jieba
3,CARDINAL,339,NER
夜里,TIME,314,NER+Jieba
重庆,GPE,314,NER+Jieba
老子,PERSON,308,NER+Jieba
今年,DATE,307,NER+Jieba
深夜,TIME,304,NER+Jieba
白天,TIME,303,NER+Jieba
7,CARDINAL,303,NER
二,CARDINAL,293,NER
地球,LOC,293,NER+Jieba
一年,DATE,291,NER+Jieba
网易,ORG,260,NER+Jieba
Everybody,ORG,257,NER
Money,ORG,256,NER
长沙,GPE,251,NER+Jieba
OP,PERSON,239,NER
夜晚,TIME,237,NER+Jieba
午夜,TIME,230,NER+Jieba
Prod,GPE,228,NER
一秒,TIME,226,NER+Jieba
王,PERSON,220,NER+Jieba
十,CARDINAL,217,NER+Jieba
老子们,WORK_OF_ART,196,NER
nothing,PERSON,194,NER
1,CARDINAL,192,NER
凌晨,TIME,187,NER+Jieba
GAI,PERSON,184,NER
七,CARDINAL,181,NER
武汉,GPE,181,NER+Jieba
Chinese,NORP,180,NER
man,PERSON,180,NER
十年,DATE,179,NER+Jieba
第二,ORDINAL,177,NER+Jieba
清晨,TIME,176,NER+Jieba
一百,CARDINAL,173,NER+Jieba
巴黎,GPE,172,NER+Jieba
千,CARDINAL,172,NER+Jieba
兄弟伙,ORG,171,NER
麦克,PERSON,170,NER+Jieba
当年,DATE,170,NER+Jieba
M,PRODUCT,169,NER
杨,PERSON,169,NER+Jieba
lil,PERSON,168,NER
100,CARDINAL,161,NER
昨晚,TIME,160,NER+Jieba
Put,DATE,159,NER
一夜,TIME,159,NER+Jieba
24,CARDINAL,157,NER
早上,TIME,151,NER+Jieba
六,CARDINAL,151,NER
God,PERSON,150,NER
撒子,ORG,140,NER+Jieba
九,CARDINAL,139,NER
8,CARDINAL,133,NER
mind,PERSON,133,NER
三年,DATE,130,NER+Jieba
S,PRODUCT,130,NER
6,CARDINAL,129,NER
黄旭,PERSON,128,NER+Jieba
新疆,GPE,127,NER+Jieba
never,ORG,126,NER
一次次,CARDINAL,126,NER+Jieba
今夜,TIME,123,NER+Jieba
美国,GPE,122,NER+Jieba
第几,ORDINAL,121,NER+Jieba
Chorus,PERSON,121,NER
Mix,PRODUCT,120,NER
秋天,DATE,119,NER+Jieba
5,CARDINAL,118,NER
lit,PERSON,117,NER
Verse1,PERSON,116,NER
那年,DATE,115,NER+Jieba
summer,DATE,114,NER
汤,PERSON,114,NER+Jieba
Now I,PERSON,113,NER
Hiphop,PERSON,112,NER
陈令韬,PERSON,112,NER
Versace,PERSON,110,NER
shxt,PERSON,110,NER
天亮,TIME,110,NER+Jieba
万,CARDINAL,109,NER+Jieba
Verse,PERSON,108,NER
刘佳,PERSON,106,NER+Jieba
西北,LOC,104,NER+Jieba
台,GPE,104,NER+Jieba
广州,GPE,103,NER+Jieba
谢帝,PERSON,103,NER+Jieba
雷,PERSON,103,NER+Jieba
Gucci,PERSON,100,NER
俩,CARDINAL,100,NER+Jieba
长江,LOC,100,NER+Jieba
哈尔滨,GPE,100,NER+Jieba
一分钟,TIME,98,NER+Jieba
几年,DATE,98,NER+Jieba
中国人,NORP,97,NER
春天,DATE,97,NER+Jieba
东北,LOC,96,NER+Jieba
去年,DATE,96,NER+Jieba
balling,PERSON,92,NER
天津,GPE,92,NER+Jieba
几百,CARDINAL,90,NER+Jieba
周末,DATE,89,NER+Jieba
半,CARDINAL,89,NER+Jieba
刘聪,PERSON,89,NER+Jieba
ི་,PERSON,88,NER
་ད,PERSON,88,NER
12,CARDINAL,86,NER
新年,DATE,84,NER+Jieba
JD,PRODUCT,84,NER
一万,CARDINAL,83,NER+Jieba
西安,GPE,83,NER+Jieba
合肥,GPE,83,NER+Jieba
美,GPE,82,NER+Jieba
Mercy,PERSON,82,NER
纽约,GPE,80,NER+Jieba
今天晚上,TIME,80,NER
中华,NORP,79,NER+Jieba
下午,TIME,79,NER+Jieba
20,CARDINAL,78,NER
杨天,PERSON,78,NER+Jieba
徐帅,PERSON,78,NER+Jieba
中华,GPE,77,NER+Jieba
这几年,DATE,76,NER
808,CARDINAL,76,NER
十八,CARDINAL,76,NER+Jieba
day,PERSON,75,NER
卡斯,PERSON,75,NER+Jieba
傍晚,TIME,75,NER+Jieba
་བ,PERSON,75,NER
黄河,LOC,74,NER+Jieba
河南,GPE,74,NER+Jieba
Louis,PERSON,72,NER
南京,GPE,72,NER+Jieba
零,CARDINAL,72,NER
三千,CARDINAL,72,NER+Jieba
苏,PERSON,72,NER+Jieba
弟娃儿,ORG,71,NER
flexing,PERSON,71,NER
岳狗,PERSON,71,NER+Jieba
Respect,PERSON,70,NER
2020,DATE,70,NER
四川,GPE,70,NER+Jieba
这些年,DATE,70,NER
李雨杭,PERSON,70,NER
Don,PERSON,70,NER
杭州,GPE,70,NER+Jieba
刘柄鑫,PERSON,70,NER+Jieba
9,CARDINAL,69,NER
台湾,GPE,69,NER+Jieba
一整夜,TIME,68,NER+Jieba
Recorded,PERSON,68,NER
Shawty,PERSON,68,NER
贵阳,GPE,68,NER+Jieba
ད་,GPE,68,NER
10,CARDINAL,67,NER
明年,DATE,67,NER+Jieba
Aye,PERSON,66,NER
兄弟些,PERSON,65,NER
第三,ORDINAL,65,NER+Jieba
成都集团,ORG,65,NER
贵州,GPE,65,NER+Jieba
16,CARDINAL,64,NER
邓思楚,PERSON,64,NER+Jieba
千年,DATE,63,NER+Jieba
半夜,TIME,63,NER+Jieba
2019,DATE,63,NER
谢,PERSON,62,NER+Jieba
巴,GPE,62,NER
中国,NORP,62,NER+Jieba
NOTTIBO,PERSON,62,NER
法老,PERSON,61,NER+Jieba
英文,LANGUAGE,61,NER+Jieba
李尔,PERSON,61,NER+Jieba
布瑞吉Bridge,ORG,61,NER
五年,DATE,60,NER+Jieba
never,PERSON,60,NER
优加班,PERSON,60,NER
win,PRODUCT,59,NER
东京,GPE,59,NER+Jieba
dreaming,PERSON,59,NER
第二天,DATE,59,NER+Jieba
刘洲,PERSON,59,NER+Jieba
wow,PERSON,59,NER
王齐铭,PERSON,59,NER+Jieba
黄俊,PERSON,59,NER+Jieba
30,CARDINAL,58,NER
4W,QUANTITY,58,NER
99,CARDINAL,58,NER
falling,PERSON,58,NER
Vroom,FAC,57,NER
word,PRODUCT,57,NER
台北,GPE,57,NER+Jieba
年底,DATE,57,NER+Jieba
江南,LOC,57,NER+Jieba
刘炫廷,PERSON,57,NER+Jieba
脚杆,PERSON,56,NER+Jieba
索尼,ORG,56,NER+Jieba
徐培霖 Zeus Production,WORK_OF_ART,56,NER
鹿奇,PERSON,56,NER+Jieba
两年,DATE,55,NER+Jieba
yuh,PERSON,55,NER
Tizzy,PERSON,55,NER
Knock,PERSON,55,NER
滴滴,ORG,55,NER+Jieba
阿妹,PERSON,55,NER+Jieba
Chanel,PERSON,54,NER
leaving,PERSON,54,NER
香港,GPE,54,NER+Jieba
bla,PERSON,54,NER
Christmas,DATE,54,NER
张震岳,PERSON,54,NER+Jieba
张昊,PERSON,54,NER+Jieba
胡彦斌,PERSON,54,NER+Jieba
Yay,PERSON,54,NER
Dior,PERSON,53,NER
李佳隆,PERSON,53,NER+Jieba
几天,DATE,53,NER+Jieba
Everyday,WORK_OF_ART,52,NER
艾热,PERSON,52,NER+Jieba
但行好事,PERSON,52,NER+Jieba
张恋歌,PERSON,52,NER
won't,PERSON,52,NER
几百万,CARDINAL,51,NER+Jieba
thug,PERSON,51,NER
下一秒,TIME,51,NER
福克斯,ORG,51,NER+Jieba
Mac,PRODUCT,51,NER
李大奔,PERSON,51,NER+Jieba
There,PERSON,51,NER
noble,LOC,51,NER
东南西北,LOC,50,NER+Jieba
马思唯,PERSON,50,NER
tripping,PERSON,50,NER
Tango,ORG,50,NER
三十,CARDINAL,50,NER+Jieba
mercy,PERSON,49,NER
早晨,TIME,49,NER+Jieba
2022,DATE,49,NER
上帝,PERSON,49,NER+Jieba
亚洲,LOC,49,NER+Jieba
凤凰,ORG,49,NER+Jieba
Imma,PRODUCT,49,NER
吴亦凡,PERSON,49,NER+Jieba
辛巴,PERSON,49,NER+Jieba
苏Key,PERSON,48,NER
一百万,CARDINAL,48,NER+Jieba
13,CARDINAL,48,NER
八月,DATE,48,NER+Jieba
一千,CARDINAL,48,NER+Jieba
半年,DATE,48,NER+Jieba
apart,ORG,47,NER
BOI,PERSON,47,NER
50,CARDINAL,46,NER
bro,PERSON,46,NER
年初,DATE,46,NER+Jieba
布瑞吉,PERSON,46,NER+Jieba
Feat,CARDINAL,46,NER
一晚,TIME,46,NER+Jieba
邓紫棋,PERSON,46,NER+Jieba
Saber,PERSON,46,NER
几十,CARDINAL,45,NER+Jieba
tired,PERSON,45,NER
日出,LOC,45,NER+Jieba
Rolex,PRODUCT,45,NER
杰尼,PERSON,45,NER+Jieba
AYO,PERSON,45,NER
山东,GPE,45,NER+Jieba
Forever,ORG,45,NER
balenci,GPE,45,NER
百万,CARDINAL,44,NER+Jieba
中央,ORG,44,NER+Jieba
going,PERSON,44,NER
洛杉矶,GPE,44,NER+Jieba
homiez,PERSON,44,NER
21,CARDINAL,44,NER
云南,GPE,44,NER+Jieba
韩啸,ORG,44,NER+Jieba
十几年,DATE,44,NER+Jieba
崔恩京,PERSON,44,NER+Jieba
圣诞节,DATE,44,NER+Jieba
gonna,GPE,43,NER
中原,LOC,43,NER+Jieba
god,PERSON,43,NER
Hustle,PERSON,43,NER
Woo,PERSON,43,NER
Now,WORK_OF_ART,43,NER
梁,PERSON,43,NER+Jieba
半天,TIME,42,NER+Jieba
San,GPE,42,NER
阿里巴巴,ORG,42,NER+Jieba
陈伟伦,PERSON,42,NER
Digi Ghet,PERSON,42,NER
Yes Sir,PERSON,41,NER
深圳,GPE,41,NER+Jieba
California,GPE,41,NER
毕加索,PERSON,41,NER+Jieba
百,CARDINAL,41,NER+Jieba
嘉陵江,LOC,41,NER+Jieba
(走,DATE,41,NER
bustdown,PERSON,41,NER
意大利,GPE,40,NER+Jieba
十年前,DATE,40,NER
杨云翔,PERSON,40,NER+Jieba
寒冬,DATE,40,NER+Jieba
14,CARDINAL,40,NER
九十九,CARDINAL,40,NER+Jieba
麻,PERSON,40,NER+Jieba
singing,PERSON,40,NER
YepYep,PERSON,40,NER
三天,DATE,39,NER+Jieba
火星,LOC,39,NER+Jieba
西湖,LOC,39,NER+Jieba
日落,TIME,39,NER+Jieba
faker,PERSON,39,NER
文化传播有限公司,ORG,39,NER
fun,ORG,39,NER
赵辰龙,PERSON,39,NER
Bruce,PERSON,39,NER
五千年,DATE,39,NER+Jieba
夜楠,PERSON,39,NER+Jieba
Haters,PERSON,39,NER
太平洋,LOC,39,NER+Jieba
六月,DATE,39,NER+Jieba
春秋,DATE,39,NER+Jieba
went,DATE,38,NER
2013,DATE,38,NER
王嗣尧,PERSON,38,NER+Jieba
达芬奇,PERSON,38,NER+Jieba
三册柏,CARDINAL,38,NER
唐,PERSON,38,NER+Jieba
808,MONEY,38,NER
英语,LANGUAGE,38,NER+Jieba
潘玮柏,PERSON,38,NER+Jieba
16岁,DATE,38,NER
ད་,PERSON,38,NER
Masiwei,PERSON,38,NER
Light,WORK_OF_ART,38,NER
20岁,DATE,38,NER
neverkill,PERSON,38,NER
forever,PERSON,38,NER
蒙娜丽莎,PERSON,37,NER+Jieba
一个月,DATE,37,NER+Jieba
莎,PERSON,37,NER+Jieba
Thomeboydontkill,PERSON,37,NER
Underground,GPE,37,NER
罗马,GPE,37,NER+Jieba
RYC,PERSON,37,NER
三十六,CARDINAL,37,NER+Jieba
李小龙,PERSON,37,NER+Jieba
湘江,LOC,37,NER+Jieba
10亿,CARDINAL,37,NER
饶舌,NORP,37,NER+Jieba
NOUS,GPE,37,NER
་འ,GPE,37,NER
幺妹儿,GPE,37,NER
三娃⼉,CARDINAL,37,NER
telling,PERSON,36,NER
法拉利,PERSON,36,NER+Jieba
那天,DATE,36,NER+Jieba
乌鲁木齐,GPE,36,NER+Jieba
茅台 茅台 茅台,ORG,36,NER
grind,PERSON,36,NER
十年后,DATE,36,NER
old days,PERSON,36,NER
30岁,DATE,36,NER
56,CARDINAL,36,NER
Butterflies,PERSON,36,NER
noble,FAC,36,NER
們哥,PERSON,36,NER
吴,PERSON,35,NER+Jieba
pushing,PERSON,35,NER
一秒钟,TIME,35,NER+Jieba
123,CARDINAL,35,NER
厦门,GPE,35,NER+Jieba
