entity,label,count,action
刘聪,ARTIST,37,
GAI,ARTIST,33,
小老虎,ARTIST,32,
KnowKnow,ARTIST,19,
法老,ARTIST,13,
热狗,ARTIST,11,
黄旭,ARTIST,10,
Ty,ARTIST,8,
艾热,ARTIST,6,
杨和苏,ARTIST,5,
万妮达,ARTIST,4,
周杰伦,ARTIST,4,
王以太,ARTIST,4,
潘玮柏,ARTIST,4,
ICE,ARTIST,3,
MC HotDog,ARTIST,3,
龙井说唱,ARTIST,3,
马思唯,ARTIST,3,
Jony J,ARTIST,3,
欧阳靖,ARTIST,3,
那吾克热,ARTIST,2,
VAVA,ARTIST,2,
Capper,ARTIST,1,
谢帝,ARTIST,1,
Bape,BRAND,123,
Gucci,BRAND,12,
Prada,BRAND,11,
Rolex,BRAND,11,
奔驰,BRAND,10,
Hennessy,BRAND,8,
Nike,BRAND,8,
宝马,BRAND,7,
Versace,BRAND,7,
Supreme,BRAND,2,
保时捷,BRAND,1,
北京,CITY,483,
长沙,CITY,257,
上海,CITY,55,
重庆,CITY,38,
成都,CITY,34,
广州,CITY,34,
东北,CITY,34,
南京,CITY,19,
西安,CITY,15,
南城,CITY,13,
深圳,CITY,11,
武汉,CITY,6,
海口,CITY,5,
三里屯,CITY,5,
杭州,CITY,5,
长 沙,CITY,4,
四川,CITY,3,
北 京,CITY,1,
昆明,CITY,1,
川渝,CITY,1,
功夫胖,CREW,47,
活死人,CREW,12,
CDC,CREW,9,
GOSH,CREW,1,
海尔兄弟,CREW,1,
说唱,CULTURE,578,
real,CULTURE,279,
flow,CULTURE,254,
街头,CULTURE,216,
地下,CULTURE,162,
freestyle,CULTURE,55,
OG,CULTURE,47,
diss,CULTURE,47,
battle,CULTURE,44,
嘻哈,CULTURE,41,
cypher,CULTURE,30,
trap,CULTURE,30,
keep it real,CULTURE,14,
re al,CULTURE,6,
O G,CULTURE,5,
drill,CULTURE,5,
t rap,CULTURE,5,
地 下,CULTURE,3,
graffiti,CULTURE,2,
说 唱,CULTURE,2,
free style,CULTURE,1,
中国有嘻哈,PLATFORM,6,
中国新说唱,PLATFORM,1,
